"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Mllt3",0,0,0,0,0,0,0.231920199501247,0,0.144638403990025,-0.0374064837905237,0,0,0,0,0,-0.229426433915212,0,0,0,0,0,0,0,0,0,0,-0.259351620947631,0,0,0,0,0,0,0,0,0,0,0,0.670822942643391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209476309226933,0,0,0.72568578553616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865336658354115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491271820448878,0,0
"Arhgap15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139650872817955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261845386533666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sox4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027431421446384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399002493765586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tespa1",0,0,0,-0.793017456359102,0,0,0,0,0,0.608478802992519,0,0,0,0,0,0.448877805486284,0,0,0,-0.286783042394015,0.401496259351621,0,0,0,0,0.241895261845387,0,0,0,0,0,0,0,0,0,0.241895261845387,0,0.471321695760599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71072319201995,0,0,0,0,0,0,0,0,0,0,0,0,-0.139650872817955,0,0,0,0,0,-0.127182044887781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Med12l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448877805486284,0,0,0,0,0,0,0.117206982543641,0,0,0,0,0,0,0,0,-0.296758104738155,0,0,0,0,0,0,0,0,0,0,0
"Satb1",0,0,0,-0.927680798004987,0,0,-0.748129675810474,-0.423940149625935,-0.837905236907731,0,0.763092269326683,-0.167082294264339,0,0,0.508728179551122,0,0,0,0,-0.708229426433915,0.254364089775561,0,0,0,0,0.70573566084788,0,0,0,0,-0.765586034912718,0,0,0,0,0,0,0.865336658354115,0,-0.842892768079801,0,0,0,0,0.139650872817955,0,0,-0.930174563591022,0.0623441396508728,0,0,0,0,-0.553615960099751,0,0,0,0,0,0,0,-0.940149625935162,0,0,0,0,0,0,0,0,-0.718204488778055,0,0,0.880299251870324,0,0,-0.955112219451372,-0.770573566084788,0,0,0,0,0,0,0,0.0648379052369077,0.805486284289277,0,0,0,-0.58354114713217,0,0,0,-0.254364089775561,-0.084788029925187,0,0,0,0,0,0,0,-0.635910224438903
"Pitpnc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643391521197007,0,0,0,-0.107231920199501,0,0,0.341645885286783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00997506234413965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clnk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164588528678304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830423940149626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124688279301746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exoc6b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.286783042394015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473815461346633,0,0,0,0,0,0,0,0.374064837905237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149625935162095,0.216957605985037,0
"Mpl",0,0,0,0.0798004987531172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.640897755610973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396508728179551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fam117a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216957605985037,0,0,0,0,0,0,0,0,0,-0.189526184538653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.526184538653367,0,0,0,0,0,0,0,0,0.164588528678304,0,0,0,0,0,0,0,0,0,0,0,0
"Alcam",0.58354114713217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498753117206983,0,0,0.683291770573566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42643391521197,0,0
"St3gal1",0,0,0,0,0,0,0,0,0,0,0,0,0.192019950124688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.897755610972569,0,0,0,0,0,0.0748129675810474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975062344139651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
