"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Sox4",-0.0673316708229426,0,0,0,0,0,0,0,0,0,0,-0.301745635910224,0,-0.259351620947631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648379052369077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174563591022444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124688279301746,0,-0.41645885286783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tespa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264339152119701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688279301745636,0,0,0,0,0.0897755610972569,0,0,0,0,0,0,0,0,0,0,0,-0.960099750623441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645885286783042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Med12l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13715710723192,0.443890274314214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.329177057356608,0,0,0,0,0,0,0,0.386533665835411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807980049875312,0,-0.596009975062344,0,0,0,0,0,0,0,0,0,0,0
"Satb1",0,0,0,0,0,0,0,-0.805486284289277,0,0,0,0,0,0,0,0,-0.541147132169576,0,0,0,0.890274314214464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.683291770573566,0,0,0,0,0.683291770573566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0324189526184539,0,0,0,0,0,0.199501246882793,0,0,-0.43640897755611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.314214463840399,0,0
"Pitpnc1",0,0,0,0,0,0,0,0,0,0,0,0,0.458852867830424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149625935162095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.640897755610973,0,0.321695760598504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104738154613466,0,0.810473815461347,0,0
"Clnk",0,0,0.0374064837905237,0,0,0,0,0,0,0,0,-0.119700748129676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239401496259352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00498753117206983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139650872817955,0,0,0,0,0,0,0,0,0,0,0,0,0.167082294264339,-0.351620947630923,0,0.224438902743142,0,0
"Exoc6b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461346633416459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.763092269326683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167082294264339,0.488778054862843,0,0
"Mpl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4214463840399,0,0,0,0,0,0,0,-0.0748129675810474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fam117a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521197007481297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648379052369077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174563591022444,0,0,0,0,0,0,0,0,0.411471321695761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057356608478803,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102244389027431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887780548628429,0,0,0,-0.553615960099751,0,0,0,0,0,0,0,0,0,0,-0.0872817955112219,0,0,0,0,0,0,0,0,0,0,0,0.084788029925187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.334164588528678,0,0,0,0
"St3gal1",0,0,0.665835411471322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832917705735661,0,0.506234413965087,0,0,0,0,0.224438902743142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14214463840399,0,0,0,0,0,0,0.605985037406484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172069825436409,0,0.224438902743142,0,0
"Vav3",0,0,0,0,0,0,0,0,0,0.084788029925187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144638403990025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.887780548628429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281795511221945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
